"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage","STAAR Spanish - Mathematics|Tests Taken","STAAR Spanish - Mathematics|Average Scale Score","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Count","STAAR Spanish - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Count","STAAR Spanish - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR Spanish - Mathematics|Performance Levels|Masters|Count","STAAR Spanish - Mathematics|Performance Levels|Masters|Percentage"
"MIDLOTHIAN ISD","070908","Spring 2025","5","827","1662","133","16","694","84","430","52","186","22","2","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2025","8","960","1904","184","19","776","81","568","59","224","23","","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2024","3","771","1499","141","18","630","82","427","55","168","22","2","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2024","5","850","1681","120","14","730","86","506","60","216","25","2","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2024","8","910","1880","170","19","740","81","478","53","165","18","","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2023","3","750","1477","161","21","589","79","370","49","162","22","0","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2023","5","807","1676","104","13","703","87","478","59","221","27","0","","","","","","","","",""
"MIDLOTHIAN ISD","070908","Spring 2023","8","917","1893","146","16","771","84","536","58","196","21","","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2025","3","5","1488","1","20","4","80","4","80","0","0","0","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2025","3","634","1527","108","17","526","83","393","62","204","32","0","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2025","5","635","1741","54","9","581","91","436","69","246","39","0","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2025","5","10","1718","2","20","8","80","7","70","4","40","0","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2025","8","431","1805","157","36","274","64","144","33","22","5","","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2025","8","8","2064","0","0","8","100","8","100","7","88","","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2024","3","638","1510","99","16","539","84","375","59","156","24","0","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2024","3","10","1427","3","30","7","70","4","40","0","0","0","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2024","5","602","1700","79","13","523","87","385","64","183","30","0","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2024","5","8","1568","2","25","6","75","2","25","0","0","0","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2024","8","453","1856","108","24","345","76","209","46","58","13","","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2024","8","10","1760","5","50","5","50","1","10","0","0","","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2023","3","621","1534","70","11","551","89","396","64","225","36","0","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2023","3","8","1434","3","38","5","63","2","25","1","13","0","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2023","5","648","1714","53","8","595","92","435","67","221","34","0","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2023","5","11","1630","1","9","10","91","4","36","1","9","0","","","","","","","","",""
"MIDWAY ISD","039905","Spring 2023","8","9","1940","0","0","9","100","8","89","3","33","","","","","","","","","",""
"MIDWAY ISD","161903","Spring 2023","8","512","1877","69","13","443","87","280","55","76","15","","","","","","","","","",""
"MILANO ISD","166903","Spring 2025","3","27","1480","4","15","23","85","14","52","4","15","0","","","","","","","","",""
"MILANO ISD","166903","Spring 2025","5","18","1720","2","11","16","89","11","61","9","50","0","","","","","","","","",""
"MILANO ISD","166903","Spring 2025","8","36","1924","5","14","31","86","22","61","8","22","","","","","","","","","",""
"MILANO ISD","166903","Spring 2024","3","28","1455","8","29","20","71","10","36","2","7","0","","","","","","","","",""
"MILANO ISD","166903","Spring 2024","5","30","1771","1","3","29","97","27","90","13","43","0","","","","","","","","",""
"MILANO ISD","166903","Spring 2024","8","25","1821","9","36","16","64","9","36","1","4","","","","","","","","","",""
"MILANO ISD","166903","Spring 2023","3","18","1551","1","6","17","94","13","72","5","28","0","","","","","","","","",""
"MILANO ISD","166903","Spring 2023","5","24","1765","1","4","23","96","18","75","11","46","0","","","","","","","","",""
"MILANO ISD","166903","Spring 2023","8","20","1852","4","20","16","80","8","40","2","10","","","","","","","","","",""
"MILDRED ISD","175910","Spring 2025","3","60","1438","14","23","46","77","19","32","7","12","0","","","","","","","","",""
"MILDRED ISD","175910","Spring 2025","5","87","1615","21","24","66","76","33","38","10","11","0","","","","","","","","",""
"MILDRED ISD","175910","Spring 2025","8","85","1880","23","27","62","73","41","48","15","18","","","","","","","","","",""
"MILDRED ISD","175910","Spring 2024","3","73","1459","14","19","59","81","35","48","7","10","0","","","","","","","","",""
"MILDRED ISD","175910","Spring 2024","5","59","1647","11","19","48","81","37","63","17","29","0","","","","","","","","",""
"MILDRED ISD","175910","Spring 2024","8","65","1837","17","26","48","74","27","42","7","11","","","","","","","","","",""
"MILDRED ISD","175910","Spring 2023","3","80","1475","12","15","68","85","42","53","12","15","0","","","","","","","","",""
"MILDRED ISD","175910","Spring 2023","5","65","1640","8","12","57","88","32","49","8","12","0","","","","","","","","",""
"MILDRED ISD","175910","Spring 2023","8","67","1905","10","15","57","85","43","64","17","25","","","","","","","","","",""
"MILES ISD","200902","Spring 2025","3","43","1576","2","5","41","95","34","79","16","37","0","","","","","","","","",""
"MILES ISD","200902","Spring 2025","5","42","1716","6","14","36","86","29","69","12","29","0","","","","","","","","",""
"MILES ISD","200902","Spring 2025","8","33","1963","7","21","26","79","21","64","12","36","","","","","","","","","",""
"MILES ISD","200902","Spring 2024","3","35","1548","4","11","31","89","24","69","10","29","0","","","","","","","","",""
"MILES ISD","200902","Spring 2024","5","30","1704","5","17","25","83","22","73","11","37","0","","","","","","","","",""
"MILES ISD","200902","Spring 2024","8","33","1908","4","12","29","88","18","55","8","24","","","","","","","","","",""
"MILES ISD","200902","Spring 2023","3","43","1528","9","21","34","79","28","65","18","42","0","","","","","","","","",""
"MILES ISD","200902","Spring 2023","5","39","1666","7","18","32","82","24","62","9","23","0","","","","","","","","",""
"MILES ISD","200902","Spring 2023","8","41","1889","3","7","38","93","22","54","8","20","","","","","","","","","",""
"MILFORD ISD","070909","Spring 2025","3","21","1346","12","57","9","43","2","10","0","0","0","","","","","","","","",""
"MILFORD ISD","070909","Spring 2025","5","12","1484","7","58","5","42","0","0","0","0","0","","","","","","","","",""
"MILFORD ISD","070909","Spring 2025","8","19","1758","10","53","9","47","3","16","0","0","","","","","","","","","",""
"MILFORD ISD","070909","Spring 2024","3","15","1345","8","53","7","47","2","13","1","7","1","","","","","","","","",""
"MILFORD ISD","070909","Spring 2024","5","9","1516","4","44","5","56","0","0","0","0","0","","","","","","","","",""
"MILFORD ISD","070909","Spring 2024","8","28","1717","18","64","10","36","3","11","0","0","","","","","","","","","",""
"MILFORD ISD","070909","Spring 2023","3","11","1365","5","45","6","55","0","0","0","0","0","","","","","","","","",""
"MILFORD ISD","070909","Spring 2023","5","18","1514","9","50","9","50","3","17","0","0","0","","","","","","","","",""
"MILFORD ISD","070909","Spring 2023","8","21","1773","8","38","13","62","2","10","1","5","","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2025","3","23","1463","5","22","18","78","12","52","2","9","0","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2025","5","21","1528","6","29","15","71","3","14","0","0","0","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2025","8","29","1870","7","24","22","76","13","45","7","24","","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2024","3","34","1374","19","56","15","44","7","21","2","6","1","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2024","5","20","1568","6","30","14","70","7","35","0","0","1","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2024","8","25","1845","8","32","17","68","9","36","3","12","","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2023","3","22","1413","4","18","18","82","4","18","1","5","0","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2023","5","19","1609","3","16","16","84","6","32","2","11","0","","","","","","","","",""
"MILLER GROVE ISD","112907","Spring 2023","8","13","1810","3","23","10","77","5","38","0","0","","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2025","3","77","1481","18","23","59","77","40","52","16","21","0","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2025","5","80","1633","13","16","67","84","37","46","10","13","0","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2025","8","63","1876","14","22","49","78","32","51","11","17","","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2024","3","83","1425","36","43","47","57","27","33","7","8","0","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2024","5","79","1668","13","16","66","84","49","62","15","19","0","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2024","8","57","1930","5","9","52","91","38","67","17","30","","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2023","3","75","1428","22","29","53","71","26","35","9","12","0","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2023","5","80","1654","5","6","75","94","50","63","11","14","0","","","","","","","","",""
"MILLSAP ISD","184904","Spring 2023","8","65","1936","6","9","59","91","48","74","20","31","","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2025","3","122","1478","20","16","102","84","60","49","23","19","0","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2025","5","126","1654","28","22","98","78","63","50","25","20","0","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2025","8","107","1839","24","22","83","78","46","43","9","8","","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2024","3","124","1463","34","27","90","73","52","42","25","20","0","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2024","5","130","1643","23","18","107","82","68","52","21","16","1","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2024","8","94","1865","13","14","81","86","45","48","10","11","","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2023","3","123","1456","23","19","100","81","58","47","16","13","2","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2023","5","102","1672","8","8","94","92","63","62","21","21","0","","","","","","","","",""
"MINEOLA ISD","250903","Spring 2023","8","119","1852","20","17","99","83","59","50","8","7","","","","","","","","","",""
"MINERAL WELLS ISD","182903","Spring 2025","3","210","1434","74","35","136","65","82","39","27","13","9","1314","6","67","3","33","0","0","0","0"
"MINERAL WELLS ISD","182903","Spring 2025","5","238","1630","65","27","173","73","109","46","54","23","5","1524","2","40","3","60","1","20","0","0"
"MINERAL WELLS ISD","182903","Spring 2025","8","219","1856","60","27","159","73","96","44","35","16","","","","","","","","","",""
"MINERAL WELLS ISD","182903","Spring 2024","3","234","1448","70","30","164","70","98","42","28","12","5","1309","5","100","0","0","0","0","0","0"
"MINERAL WELLS ISD","182903","Spring 2024","5","240","1629","72","30","168","70","114","48","49","20","6","1502","3","50","3","50","0","0","0","0"
"MINERAL WELLS ISD","182903","Spring 2024","8","243","1848","71","29","172","71","105","43","36","15","","","","","","","","","",""
"MINERAL WELLS ISD","182903","Spring 2023","3","231","1423","73","32","158","68","88","38","29","13","2","","","","","","","","",""
"MINERAL WELLS ISD","182903","Spring 2023","5","252","1629","47","19","205","81","110","44","41","16","1","","","","","","","","",""
"MINERAL WELLS ISD","182903","Spring 2023","8","260","1846","60","23","200","77","117","45","30","12","","","","","","","","","",""
"MISSION CISD","108908","Spring 2025","3","862","1429","316","37","546","63","325","38","123","14","14","1354","8","57","6","43","1","7","1","7"
"MISSION CISD","108908","Spring 2025","5","864","1635","243","28","621","72","387","45","181","21","13","1523","8","62","5","38","2","15","0","0"
"MISSION CISD","108908","Spring 2025","8","928","1832","287","31","641","69","368","40","81","9","","","","","","","","","",""
"MISSION CISD","108908","Spring 2024","3","901","1434","321","36","580","64","313","35","109","12","5","1432","2","40","3","60","3","60","0","0"
"MISSION CISD","108908","Spring 2024","5","879","1630","198","23","681","77","405","46","143","16","21","1558","9","43","12","57","7","33","1","5"
"MISSION CISD","108908","Spring 2024","8","919","1830","300","33","619","67","349","38","76","8","","","","","","","","","",""
"MISSION CISD","108908","Spring 2023","3","893","1446","257","29","636","71","361","40","126","14","14","1350","6","43","8","57","3","21","0","0"
"MISSION CISD","108908","Spring 2023","5","986","1639","205","21","781","79","481","49","170","17","26","1599","8","31","18","69","11","42","2","8"
"MISSION CISD","108908","Spring 2023","8","926","1819","304","33","622","67","325","35","69","7","","","","","","","","","",""
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2025","3","145","1443","41","28","104","72","60","41","18","12","8","1320","7","88","1","13","1","13","0","0"
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2025","5","162","1614","51","31","111","69","66","41","28","17","6","1500","4","67","2","33","0","0","0","0"
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2025","8","139","1810","47","34","92","66","47","34","9","6","","","","","","","","","",""
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2024","3","139","1420","44","32","95","68","41","29","7","5","8","1340","5","63","3","38","1","13","0","0"
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2024","5","162","1639","32","20","130","80","83","51","26","16","3","","","","","","","","",""
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2024","8","145","1778","58","40","87","60","26","18","1","1","","","","","","","","","",""
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2023","3","167","1430","53","32","114","68","61","37","19","11","3","","","","","","","","",""
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2023","5","133","1615","29","22","104","78","52","39","16","12","5","1495","4","80","1","20","0","0","0","0"
"MONAHANS-WICKETT-PYOTE ISD","238902","Spring 2023","8","174","1795","58","33","116","67","43","25","9","5","","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2025","3","18","1398","7","39","11","61","3","17","1","6","0","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2025","5","15","1620","4","27","11","73","6","40","3","20","0","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2025","8","9","1984","1","11","8","89","8","89","3","33","","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2024","3","27","1530","3","11","24","89","15","56","7","26","0","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2024","5","19","1731","1","5","18","95","15","79","6","32","0","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2024","8","8","2023","1","13","7","88","6","75","4","50","","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2023","3","15","1442","4","27","11","73","6","40","1","7","0","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2023","5","10","1758","0","0","10","100","10","100","5","50","0","","","","","","","","",""
"MONTAGUE ISD","169908","Spring 2023","8","10","2019","1","10","9","90","7","70","6","60","","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2025","3","48","1429","14","29","34","71","17","35","2","4","2","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2025","5","52","1559","20","38","32","62","12","23","5","10","3","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2025","8","62","1754","36","58","26","42","8","13","1","2","","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2024","3","57","1376","28","49","29","51","8","14","1","2","1","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2024","5","55","1589","15","27","40","73","19","35","4","7","1","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2024","8","63","1801","24","38","39","62","17","27","2","3","","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2023","3","54","1406","15","28","39","72","17","31","3","6","1","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2023","5","61","1668","5","8","56","92","39","64","12","20","1","","","","","","","","",""
"MONTE ALTO ISD","108915","Spring 2023","8","72","1845","21","29","51","71","28","39","12","17","","","","","","","","","",""
"MONTESSORI FOR ALL","227826","Spring 2025","3","56","1454","17","30","39","70","26","46","9","16","0","","","","","","","","",""
"MONTESSORI FOR ALL","227826","Spring 2025","5","48","1607","14","29","34","71","17","35","5","10","0","","","","","","","","",""
"MONTESSORI FOR ALL","227826","Spring 2024","3","55","1430","24","44","31","56","21","38","10","18","0","","","","","","","","",""
"MONTESSORI FOR ALL","227826","Spring 2024","5","45","1559","19","42","26","58","13","29","3","7","0","","","","","","","","",""
"MONTESSORI FOR ALL","227826","Spring 2023","3","55","1398","22","40","33","60","13","24","3","5","0","","","","","","","","",""
"MONTESSORI FOR ALL","227826","Spring 2023","5","39","1609","14","36","25","64","16","41","7","18","0","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2025","3","707","1477","145","21","562","79","367","52","141","20","8","1444","2","25","6","75","2","25","2","25"
"MONTGOMERY ISD","170903","Spring 2025","5","733","1690","125","17","608","83","447","61","219","30","4","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2025","8","825","1941","149","18","676","82","541","66","299","36","","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2024","3","678","1472","132","19","546","81","325","48","99","15","1","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2024","5","721","1684","84","12","637","88","447","62","185","26","3","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2024","8","778","1975","88","11","690","89","584","75","339","44","","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2023","3","685","1501","98","14","587","86","384","56","174","25","4","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2023","5","719","1690","67","9","652","91","453","63","218","30","2","","","","","","","","",""
"MONTGOMERY ISD","170903","Spring 2023","8","789","2015","47","6","742","94","657","83","418","53","","","","","","","","","",""
"MOODY ISD","161910","Spring 2025","3","51","1414","19","37","32","63","18","35","5","10","0","","","","","","","","",""
"MOODY ISD","161910","Spring 2025","5","57","1583","19","33","38","67","16","28","6","11","1","","","","","","","","",""
"MOODY ISD","161910","Spring 2025","8","54","1922","9","17","45","83","36","67","15","28","","","","","","","","","",""
"MOODY ISD","161910","Spring 2024","3","43","1422","17","40","26","60","13","30","4","9","0","","","","","","","","",""
"MOODY ISD","161910","Spring 2024","5","58","1617","17","29","41","71","26","45","12","21","0","","","","","","","","",""
"MOODY ISD","161910","Spring 2024","8","49","1818","12","24","37","76","14","29","2","4","","","","","","","","","",""
"MOODY ISD","161910","Spring 2023","3","52","1443","11","21","41","79","24","46","4","8","0","","","","","","","","",""
"MOODY ISD","161910","Spring 2023","5","47","1604","11","23","36","77","15","32","5","11","0","","","","","","","","",""
"MOODY ISD","161910","Spring 2023","8","59","1864","12","20","47","80","27","46","9","15","","","","","","","","","",""
"MORAN ISD","209902","Spring 2025","3","9","1387","5","56","4","44","2","22","2","22","0","","","","","","","","",""
"MORAN ISD","209902","Spring 2025","5","6","1648","1","17","5","83","3","50","1","17","0","","","","","","","","",""
"MORAN ISD","209902","Spring 2025","8","11","1710","9","82","2","18","1","9","0","0","","","","","","","","","",""
"MORAN ISD","209902","Spring 2024","3","7","1440","1","14","6","86","3","43","0","0","0","","","","","","","","",""
"MORAN ISD","209902","Spring 2024","5","9","1581","3","33","6","67","3","33","1","11","0","","","","","","","","",""
"MORAN ISD","209902","Spring 2024","8","12","1751","7","58","5","42","1","8","0","0","","","","","","","","","",""
"MORAN ISD","209902","Spring 2023","3","8","1455","2","25","6","75","5","63","0","0","0","","","","","","","","",""
"MORAN ISD","209902","Spring 2023","5","13","1537","7","54","6","46","2","15","1","8","0","","","","","","","","",""
"MORAN ISD","209902","Spring 2023","8","6","1778","3","50","3","50","2","33","0","0","","","","","","","","","",""
"MORGAN ISD","018903","Spring 2025","3","12","1321","10","83","2","17","2","17","0","0","0","","","","","","","","",""
"MORGAN ISD","018903","Spring 2025","5","15","1584","6","40","9","60","5","33","3","20","0","","","","","","","","",""
"MORGAN ISD","018903","Spring 2025","8","9","1802","4","44","5","56","2","22","1","11","","","","","","","","","",""
"MORGAN ISD","018903","Spring 2024","3","7","1353","5","71","2","29","1","14","1","14","1","","","","","","","","",""
"MORGAN ISD","018903","Spring 2024","5","14","1463","11","79","3","21","0","0","0","0","0","","","","","","","","",""
"MORGAN ISD","018903","Spring 2024","8","6","1768","3","50","3","50","0","0","0","0","","","","","","","","","",""
"MORGAN ISD","018903","Spring 2023","3","12","1383","5","42","7","58","3","25","1","8","0","","","","","","","","",""
"MORGAN ISD","018903","Spring 2023","5","13","1555","3","23","10","77","3","23","0","0","0","","","","","","","","",""
"MORGAN ISD","018903","Spring 2023","8","10","1771","4","40","6","60","1","10","1","10","","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2025","3","8","1410","2","25","6","75","2","25","0","0","0","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2025","5","14","1544","8","57","6","43","3","21","1","7","0","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2025","8","10","1813","3","30","7","70","4","40","0","0","","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2024","3","10","1353","6","60","4","40","1","10","0","0","0","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2024","5","10","1556","5","50","5","50","4","40","0","0","0","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2024","8","1","","","","","","","","","","","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2023","3","18","1389","6","33","12","67","3","17","1","6","0","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2023","5","11","1629","1","9","10","91","5","45","1","9","0","","","","","","","","",""
"MORGAN MILL ISD","072910","Spring 2023","8","8","1865","0","0","8","100","5","63","0","0","","","","","","","","","",""
"MORTON ISD","040901","Spring 2025","3","21","1485","5","24","16","76","14","67","2","10","1","","","","","","","","",""
"MORTON ISD","040901","Spring 2025","5","25","1535","10","40","15","60","4","16","0","0","1","","","","","","","","",""
"MORTON ISD","040901","Spring 2025","8","27","1709","20","74","7","26","0","0","0","0","","","","","","","","","",""
"MORTON ISD","040901","Spring 2024","3","14","1428","5","36","9","64","5","36","1","7","0","","","","","","","","",""
"MORTON ISD","040901","Spring 2024","5","18","1553","8","44","10","56","3","17","1","6","2","","","","","","","","",""
"MORTON ISD","040901","Spring 2024","8","31","1763","16","52","15","48","4","13","1","3","","","","","","","","","",""
"MORTON ISD","040901","Spring 2023","3","26","1448","6","23","20","77","13","50","4","15","1","","","","","","","","",""
"MORTON ISD","040901","Spring 2023","5","22","1561","8","36","14","64","6","27","2","9","2","","","","","","","","",""
"MORTON ISD","040901","Spring 2023","8","28","1742","16","57","12","43","2","7","0","0","","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2025","3","17","1391","8","47","9","53","6","35","2","12","0","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2025","5","12","1572","4","33","8","67","1","8","1","8","0","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2025","8","14","1954","1","7","13","93","10","71","6","43","","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2024","3","13","1395","5","38","8","62","3","23","0","0","0","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2024","5","11","1621","3","27","8","73","6","55","2","18","0","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2024","8","11","1901","2","18","9","82","6","55","3","27","","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2023","3","11","1461","2","18","9","82","5","45","2","18","0","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2023","5","8","1600","0","0","8","100","2","25","0","0","0","","","","","","","","",""
"MOTLEY COUNTY ISD","173901","Spring 2023","8","13","1934","2","15","11","85","8","62","3","23","","","","","","","","","",""
"MOULTON ISD","143902","Spring 2025","3","26","1404","10","38","16","62","12","46","2","8","0","","","","","","","","",""
"MOULTON ISD","143902","Spring 2025","5","24","1653","4","17","20","83","13","54","3","13","0","","","","","","","","",""
"MOULTON ISD","143902","Spring 2025","8","9","1904","0","0","9","100","8","89","1","11","","","","","","","","","",""
"MOULTON ISD","143902","Spring 2024","3","17","1492","2","12","15","88","10","59","3","18","1","","","","","","","","",""
"MOULTON ISD","143902","Spring 2024","5","21","1690","5","24","16","76","14","67","8","38","0","","","","","","","","",""
"MOULTON ISD","143902","Spring 2024","8","11","1765","6","55","5","45","3","27","0","0","","","","","","","","","",""
"MOULTON ISD","143902","Spring 2023","3","23","1428","8","35","15","65","7","30","3","13","0","","","","","","","","",""
"MOULTON ISD","143902","Spring 2023","5","13","1891","0","0","13","100","13","100","10","77","0","","","","","","","","",""
"MOULTON ISD","143902","Spring 2023","8","10","1927","1","10","9","90","8","80","1","10","","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2025","3","6","1511","1","17","5","83","4","67","2","33","0","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2025","5","13","1511","9","69","4","31","3","23","1","8","0","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2025","8","16","1940","2","13","14","88","10","63","5","31","","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2024","3","13","1416","4","31","9","69","3","23","1","8","0","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2024","5","15","1473","11","73","4","27","1","7","0","0","0","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2024","8","7","1960","0","0","7","100","6","86","2","29","","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2023","3","11","1397","5","45","6","55","4","36","1","9","0","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2023","5","9","1498","5","56","4","44","2","22","0","0","0","","","","","","","","",""
"MOUNT CALM ISD","109910","Spring 2023","8","6","1867","0","0","6","100","3","50","1","17","","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2025","3","37","1450","10","27","27","73","13","35","6","16","0","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2025","5","30","1761","2","7","28","93","20","67","14","47","0","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2025","8","19","1817","5","26","14","74","6","32","0","0","","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2024","3","44","1464","8","18","36","82","20","45","5","11","0","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2024","5","36","1767","2","6","34","94","31","86","19","53","0","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2024","8","30","1806","9","30","21","70","7","23","3","10","","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2023","3","24","1476","6","25","18","75","14","58","5","21","0","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2023","5","42","1749","1","2","41","98","34","81","19","45","0","","","","","","","","",""
"MOUNT ENTERPRISE ISD","201907","Spring 2023","8","33","1796","11","33","22","67","10","30","1","3","","","","","","","","","",""
"MOUNT PLEASANT ISD","225902","Spring 2025","3","328","1492","64","20","264","80","189","58","82","25","5","1378","2","40","3","60","0","0","0","0"
"MOUNT PLEASANT ISD","225902","Spring 2025","5","332","1605","92","28","240","72","125","38","38","11","16","1482","10","63","6","38","1","6","0","0"
"MOUNT PLEASANT ISD","225902","Spring 2025","8","267","1822","91","34","176","66","101","38","18","7","","","","","","","","","",""
